experiment,role,variant,weight,best_val_epoch,boundary_weight,centerline_weight,val_dice,delta_val_vs_control_dice,development_test_dice,delta_development_test_vs_control_dice,val_iou,delta_val_vs_control_iou,development_test_iou,delta_development_test_vs_control_iou,val_sensitivity,delta_val_vs_control_sensitivity,development_test_sensitivity,delta_development_test_vs_control_sensitivity,val_precision,delta_val_vs_control_precision,development_test_precision,delta_development_test_vs_control_precision,val_specificity,delta_val_vs_control_specificity,development_test_specificity,delta_development_test_vs_control_specificity,val_accuracy,delta_val_vs_control_accuracy,development_test_accuracy,delta_development_test_vs_control_accuracy,val_hd95,delta_val_vs_control_hd95,development_test_hd95,delta_development_test_vs_control_hd95,val_cldice,delta_val_vs_control_cldice,development_test_cldice,delta_development_test_vs_control_cldice,val_boundary_f1,delta_val_vs_control_boundary_f1,development_test_boundary_f1,delta_development_test_vs_control_boundary_f1
S0_transunet_intensity_on_seed42,control,intensity_on_control,D:\Projects_\JiaBi_new\results\experiments\all_filtered\structure_aux_s0_control_20260720\0721_0027\best_model.pth,32,0.0,0.0,0.790388818762952,0.0,0.7512825166247321,0.0,0.660877617793551,0.0,0.6125143321051058,0.0,0.8002077056552424,0.0,0.781711874996858,0.0,0.7977838959523911,0.0,0.7424955763469825,0.0,0.9766101212073114,0.0,0.9674336456955106,0.0,0.9586888506583421,0.0,0.9480099109342618,0.0,18.763442781515003,0.0,24.58066054002064,0.0,0.8867377234591916,0.0,0.8404711405134587,0.0,0.6888726188781281,0.0,0.6426071305091795,0.0
S1_fixed_prior_intensity_on_seed42,prior,fixed_green_local_contrast,D:\Projects_\JiaBi_new\results\experiments\all_filtered\structure_aux_s1_fixed_prior_20260720\0721_0203\best_model.pth,23,0.0,0.0,0.7899903623753076,-0.00039845638764435254,0.7534198979068107,0.002137381282078632,0.660394246022472,-0.00048337177107904417,0.6151438847354085,0.002629552630302734,0.804033256612993,0.003825550957750612,0.7910160296727834,0.00930415467592538,0.7945158277742603,-0.0032680681781307452,0.7388791336727126,-0.0036164426742698597,0.9756644370413908,-0.0009456841659205573,0.9663735228709305,-0.001060122824580123,0.958352613555932,-0.0003362371024100419,0.9481643886749059,0.00015447774064414332,19.200573401128846,0.4371306196138427,23.953172532991204,-0.627488007029438,0.882519235919413,-0.004218487539778604,0.8422534207312528,0.00178228021779403,0.6891860575562615,0.000313438678133382,0.6427970153675654,0.00018988485838589142
S2_boundary_centerline_w0p10_intensity_on_seed42,structure,boundary_centerline_weight_0p10,D:\Projects_\JiaBi_new\results\experiments\all_filtered\structure_aux_s2_full_20260720\0721_0318\best_model.pth,31,0.10,0.10,0.789323341690476,-0.001065477072475951,0.7522646337341415,0.0009821171094094305,0.6595666980183035,-0.0013109197752475543,0.6138355139252419,0.0013211818201361858,0.8025471451110335,0.0023394394557911813,0.7919355061243829,0.01022363112752489,0.7948588479019689,-0.002925048050422152,0.7362889568647994,-0.00620661948218304,0.9756148711769589,-0.0009952500303525014,0.9650764482992042,-0.002357197396306354,0.9583136679606863,-0.0003751826976557959,0.94740288410792,-0.0006070268263418388,19.613717133777726,0.8502743522627227,23.451604064971093,-1.1290564750495484,0.8855545303287359,-0.001183193130455673,0.8440315551153985,0.0035604146019397875,0.6888734260315582,8.071534300935213e-07,0.6433621411771355,0.0007550106679560242
S3_boundary_centerline_w0p05_intensity_on_seed42,structure,boundary_centerline_weight_0p05,D:\Projects_\JiaBi_new\results\experiments\all_filtered\structure_aux_s3_low_20260720\0721_0446\best_model.pth,25,0.05,0.05,0.7885112727448494,-0.0018775460181025272,0.7500660696036424,-0.001216447021089695,0.6591939916704427,-0.0016836261231083505,0.6116815218893803,-0.0008328102157254547,0.8050162192755075,0.004808513620265131,0.783994848722976,0.002282973726117965,0.7911022509958457,-0.0066816449565453295,0.737731930138647,-0.00476364620833547,0.9753616766719082,-0.0012484445354031815,0.9661700897208332,-0.0012635559746774216,0.9583303200912887,-0.0003585305670533723,0.9479015245358079,-0.00010838639845389686,19.529976397070353,0.7665336155553497,24.988668376076923,0.40800783605628155,0.8814585500173082,-0.005279173441883334,0.8383025663402967,-0.0021685741731620745,0.6828636458329669,-0.006008973045161237,0.6318945621492535,-0.010712568359925956
S4_boundary_only_w0p10_intensity_on_seed42,structure,boundary_only_weight_0p10,D:\Projects_\JiaBi_new\results\experiments\all_filtered\structure_aux_s4_boundary_only_20260720\0721_0605\best_model.pth,39,0.10,0.0,0.787476668617477,-0.0029121501454749676,0.7517152900354718,0.0004327734107396619,0.6568890825412497,-0.003988535252301362,0.6130131927263388,0.0004988606212330549,0.7828595990011514,-0.017348106654090922,0.7722142426299013,-0.009497632366956665,0.8095964817563659,0.011812585803974818,0.7515260449025765,0.009030468555593973,0.9785632286535079,0.0019531074461964781,0.9691864192142905,0.0017527735187798932,0.9589296268732777,0.00024077621493556745,0.9489042649583127,0.000894354024050914,19.489103164095933,0.72566038258093,23.954605650578845,-0.6260548894417965,0.8835173905231617,-0.003220332936029857,0.8401194180595221,-0.0003517224539366648,0.6860875697346839,-0.0027850491434442404,0.6438183648622501,0.0012112343530705783
