experiment,kind,dice,iou,sensitivity,precision,specificity,accuracy,hd95,cldice,boundary_f1,aggregate_csv
"TransUNet_direct_green","direct_input",0.7479362121124994,0.6085968411594431,0.8132339715559506,0.7128031710957604,0.9599843326457131,0.9446605717378715,25.134834717461153,0.8332278824972822,0.6246876023444126,"D:\Projects_\JiaBi_new\results\unified_eval_next_20260620\20260620_035748\aggregate_results.csv"
"TransUNet_direct_clahe","direct_input",0.7425291007853646,0.6018897510601351,0.8032065987499012,0.7120687312389887,0.9600579373688723,0.9437472142219379,26.595945987037133,0.8292905003754497,0.6238746150893673,"D:\Projects_\JiaBi_new\results\unified_eval_next_20260620\20260620_050933\aggregate_results.csv"
"TransUNet_direct_green_clahe","direct_input",0.7496928031081531,0.6102038041003084,0.7917152856084125,0.7323046535575167,0.9649531052548701,0.946853217729452,23.99568858690835,0.836172009900652,0.6302988196727475,"D:\Projects_\JiaBi_new\results\unified_eval_next_20260620\20260620_061620\aggregate_results.csv"
"Ours_green_only_mse_only","loss_ablation",0.7571441376785226,0.6192552973598127,0.7960168886138224,0.7398614927877009,0.9661350415633401,0.9484921026675184,23.27389011535475,0.845081410681903,0.6477492250778791,"D:\Projects_\JiaBi_new\results\unified_eval_next_20260620\20260620_074510\aggregate_results.csv"
"Ours_green_only_mse10_grad20","loss_ablation",0.7557282885929247,0.6170625409299039,0.8168505441964297,0.7204904326166655,0.9614481296362323,0.9466612229661595,23.79226707144199,0.8413090621061681,0.6327393812737357,"D:\Projects_\JiaBi_new\results\unified_eval_next_20260620\20260620_090320\aggregate_results.csv"
"Ours_green_only_mse10_grad40","loss_ablation",0.7566449906437134,0.6188947907633385,0.8009812514048793,0.7351146376436529,0.9655541399585799,0.9486487502359651,22.633796798422086,0.842483661256592,0.6365704156793234,"D:\Projects_\JiaBi_new\results\unified_eval_next_20260620\20260620_102137\aggregate_results.csv"
