"experiment","variant","pretrain_mode","best_val_epoch","best_val_dice","delta_val_dice_vs_f0","development_test_dice","delta_test_dice_vs_f0","development_test_hd95","delta_test_hd95_vs_f0","development_test_cldice","delta_test_cldice_vs_f0","development_test_boundary_f1","delta_test_boundary_f1_vs_f0","aggregate_csv"
"F0_transunet_corrected_pretrained_seed42","none","imagenet21k","17","0.7932","0","0.757126085841839","0","21.7175969092581","0","0.846817383318154","0","0.634625154801796","0","D:\Projects_\JiaBi_new\results\unified_eval_pretrained_f0_f3_pair_20260715\20260715_214314\aggregate_results.csv"
"F3_directional_green_multiscale_pretrained_seed42","directional_multiscale","imagenet21k","13","0.792","-0.00119999999999998","0.754179307179936","-0.00294677866190385","22.3206359965152","0.60303908725707","0.846337595834764","-0.000479787483389726","0.623415298758155","-0.0112098560436401","D:\Projects_\JiaBi_new\results\unified_eval_pretrained_f0_f3_pair_20260715\20260715_214314\aggregate_results.csv"
