split,model,n_images,dice,iou,sensitivity,precision,specificity,accuracy,hd95,cldice,boundary_f1
train,F0,1838,0.790546251484624,0.6580575997953827,0.8340991885845507,0.7581732444839631,0.9674654050054944,0.9548095686528207,15.531171073775372,0.8806701581022336,0.6691293497410834
train,F3,1838,0.792284007534379,0.6605374121618104,0.8408753717568607,0.755322883922537,0.9676257640444763,0.955050521369765,15.420085924517222,0.8826038264119792,0.6802005763616098
train,ensemble,1838,0.8011526841465458,0.6723764521719615,0.8401497402815743,0.7712168436386654,0.9699694358821442,0.957386859483508,13.694934158972478,0.8914593870806599,0.6904060419887106
val,F0,449,0.7932073032208692,0.6651994535354168,0.8223538872379645,0.7831109215225811,0.9732052510330079,0.9580585165391284,18.809280680238025,0.887155337878089,0.6848077843780952
val,F3,449,0.7937618259305084,0.6652251814215793,0.8163594417613586,0.7875612542689421,0.9745649670389127,0.9586253686584126,18.760214277921154,0.886930447557352,0.6922465686668234
val,ensemble,449,0.799580216111684,0.6732760695189004,0.819278401929886,0.7963869405572124,0.9756026427083246,0.9598628598497564,17.63148117987981,0.8927795600808132,0.6994838191640351
test,F0,436,0.7571260858418394,0.619890818217093,0.8098622056667818,0.7293340493002353,0.9627953174598202,0.9474952067811911,21.71759690925809,0.8468173833181536,0.6346251548017956
test,F3,436,0.753626641857856,0.6156429448996268,0.8012712715340299,0.7289931490300837,0.9642518034978343,0.9475571868624509,23.69592561797533,0.8429097899085365,0.6383685258970851
test,ensemble,436,0.7635570009541122,0.6279657382405114,0.8052798625207436,0.743172266350482,0.966401557846133,0.9501026748524853,20.974198145782093,0.8541881492512132,0.6482709392174424
