experiment,weight,dice,iou,sensitivity,precision,specificity,accuracy,hd95,cldice,boundary_f1,delta_vs_original_f0_dice,delta_vs_original_f0_iou,delta_vs_original_f0_sensitivity,delta_vs_original_f0_precision,delta_vs_original_f0_specificity,delta_vs_original_f0_accuracy,delta_vs_original_f0_hd95,delta_vs_original_f0_cldice,delta_vs_original_f0_boundary_f1,delta_vs_control_dice,delta_vs_control_iou,delta_vs_control_sensitivity,delta_vs_control_precision,delta_vs_control_specificity,delta_vs_control_accuracy,delta_vs_control_hd95,delta_vs_control_cldice,delta_vs_control_boundary_f1,delta_vs_ensemble_dice,delta_vs_ensemble_iou,delta_vs_ensemble_sensitivity,delta_vs_ensemble_precision,delta_vs_ensemble_specificity,delta_vs_ensemble_accuracy,delta_vs_ensemble_hd95,delta_vs_ensemble_cldice,delta_vs_ensemble_boundary_f1
K0_finetune_control_seed42,D:\Projects_\JiaBi_new\results\experiments\all_filtered\K0_finetune_control_20260717\0717_0108\best_model.pth,0.7561174172165716,0.6192845274185945,0.7780936949908895,0.7540823512884782,0.9694144849655999,0.9498594791524997,21.903932142786758,0.8490256644660528,0.6451123900957435,-0.0010086686252678279,-0.0006062907984984989,-0.03176851067589226,0.02474830198824296,0.006619167505779733,0.00236427237130854,0.18633523352866632,0.0022082811478991715,0.010487235293947905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0074395837375406115,-0.008681210821916863,-0.027186167529854033,0.010910084937996278,0.0030129271194668794,-0.00024319569998565438,0.9297339970046643,-0.005162484785160459,-0.0031585491216988837
K1_uniform_lambda0p3_seed42,D:\Projects_\JiaBi_new\results\experiments\all_filtered\K1_uniform_lambda0p3_20260717\0717_0141\best_model.pth,0.7585228463417265,0.6213605814366315,0.7953896552399838,0.7429465669114695,0.965917566138618,0.9486449005414768,21.920402930402112,0.8495741976731039,0.6447576160422754,0.0013967604998871286,0.0014697632195385113,-0.014472550426797959,0.013612517611234276,0.0031222486787978454,0.0011496937602856194,0.20280602114402058,0.002756814354950343,0.01013246124047984,0.0024054291251549564,0.00207605401803701,0.0172959602490943,-0.011135784377008684,-0.0034969188269818874,-0.0012145786110229206,0.016470787615354254,0.0005485332070511717,-0.00035477405346806545,-0.005034154612385655,-0.0066051568038798525,-0.009890207280759733,-0.00022569943901240563,-0.000483991707515008,-0.001457774311008575,0.9462047846200186,-0.004613951578109288,-0.003513323175166949
K2_uniform_lambda1p0_seed42,D:\Projects_\JiaBi_new\results\experiments\all_filtered\K2_uniform_lambda1p0_20260717\0717_0206\best_model.pth,0.7608530027392162,0.6248318136897792,0.8041156286601999,0.7388007732879665,0.9656435264202955,0.9493976908000306,21.350954522445182,0.853735820884009,0.6451265725735705,0.0037269168973768085,0.004940995472686227,-0.005746577006581877,0.009466723987731185,0.002848208960475329,0.001902484018839412,-0.3666423868129094,0.006918437565855418,0.010501417771774935,0.004735585522644636,0.005547286271184726,0.026021933669310382,-0.015281578000511775,-0.0037709585453044037,-0.00046178835246912797,-0.5529776203415757,0.004710156417956246,1.4182477827029416e-05,-0.002703998214895975,-0.0031339245507321367,-0.0011642338605436509,-0.004371493062515497,-0.0007580314258375243,-0.0007049840524547824,0.3767563766630886,-0.0004523283672042133,-0.0031443666438718543
