experiment,weight,dice,iou,sensitivity,precision,specificity,accuracy,hd95,cldice,boundary_f1,delta_vs_original_f0_dice,delta_vs_original_f0_iou,delta_vs_original_f0_sensitivity,delta_vs_original_f0_precision,delta_vs_original_f0_specificity,delta_vs_original_f0_accuracy,delta_vs_original_f0_hd95,delta_vs_original_f0_cldice,delta_vs_original_f0_boundary_f1,delta_vs_control_dice,delta_vs_control_iou,delta_vs_control_sensitivity,delta_vs_control_precision,delta_vs_control_specificity,delta_vs_control_accuracy,delta_vs_control_hd95,delta_vs_control_cldice,delta_vs_control_boundary_f1,delta_vs_ensemble_dice,delta_vs_ensemble_iou,delta_vs_ensemble_sensitivity,delta_vs_ensemble_precision,delta_vs_ensemble_specificity,delta_vs_ensemble_accuracy,delta_vs_ensemble_hd95,delta_vs_ensemble_cldice,delta_vs_ensemble_boundary_f1
K0_finetune_control_seed42,D:\Projects_\JiaBi_new\results\experiments\all_filtered\K0_finetune_control_20260717\0717_0108\best_model.pth,0.7561174172165716,0.6192845274185945,0.7780936949908895,0.7540823512884782,0.9694144849655999,0.9498594791524997,21.903932142786758,0.8490256644660528,0.6451123900957435,-0.0010086686252678279,-0.0006062907984984989,-0.03176851067589226,0.02474830198824296,0.006619167505779733,0.00236427237130854,0.18633523352866632,0.0022082811478991715,0.010487235293947905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0074395837375406115,-0.008681210821916863,-0.027186167529854033,0.010910084937996278,0.0030129271194668794,-0.00024319569998565438,0.9297339970046643,-0.005162484785160459,-0.0031585491216988837
K3_agreement_lambda0p3_seed42,D:\Projects_\JiaBi_new\results\experiments\all_filtered\K3_agreement_lambda0p3_20260717\0718_0034\best_model.pth,0.7574881533696896,0.6202706419603631,0.7932705092328257,0.743014714180477,0.965850101982086,0.9483550885409616,22.610635168697705,0.8480723219839577,0.6465097018839063,0.00036206752785017393,0.00037982374327005797,-0.016591696433956082,0.013680664880241777,0.0030547845222658188,0.0008598817597704755,0.8930382594396136,0.0012549386658040618,0.01188454708211073,0.0013707361531180018,0.0009861145417685568,0.015176814241936176,-0.011067637108001183,-0.003564382983513914,-0.0015043906115380645,0.7067030259109472,-0.0009533424820951097,0.001397311788162825,-0.00606884758442261,-0.007695096280148306,-0.012009353287917857,-0.0001575521700049043,-0.0005514558640470346,-0.001747586311523719,1.6364370229156115,-0.006115827267255569,-0.0017612373335360587
K4_uniform_lambda0p1_seed42,D:\Projects_\JiaBi_new\results\experiments\all_filtered\K4_uniform_lambda0p1_20260717\0718_0059\best_model.pth,0.7558386093245597,0.6185440250800787,0.8158648899104433,0.7239891705998135,0.960400833597934,0.9459998804503116,22.46616530496618,0.8498208003964035,0.6436198088147156,-0.0012874765172796732,-0.001346793137014357,0.00600268424366146,-0.0053448787004217735,-0.002394483861886121,-0.001495326330879565,0.7485683957080873,0.0030034170782499148,0.00899465401291999,-0.0002788078920118453,-0.0007405023385158582,0.03777119491955372,-0.030093180688664734,-0.009013651367665854,-0.003859598702188105,0.562233162179421,0.0007951359303507433,-0.001492581281027916,-0.007718391629552457,-0.009421713160432721,0.010585027389699686,-0.019183095750668455,-0.006000724248198974,-0.0041027944021737595,1.4919671591840853,-0.004367348854809716,-0.0046511304027268
