metric,n_patients,patient_mean_delta,patient_std_delta,ci95_low,ci95_high,improved_patients,worsened_patients
dice,19,0.0013490639185477844,0.006957346783939611,-0.0015935094283026053,0.004411252413714595,10,9
iou,19,0.0010282335737644792,0.008802905079633182,-0.002770240295806115,0.00492451635096981,10,9
sensitivity,19,0.012420481248582254,0.00965752502211456,0.008263485973140073,0.016657015589553015,17,2
precision,19,-0.008314790290606833,0.01318948236527006,-0.014152345709286052,-0.0026877677516739503,5,14
specificity,19,-0.0023858200277117434,0.004047317814431593,-0.004307951448405912,-0.0007814570762521545,4,15
accuracy,19,-0.0009655848821809648,0.002463650090969022,-0.0021194330846380973,1.6612970316206446e-06,7,12
hd95,19,0.4291089820209923,1.820074430904252,-0.39531543795768426,1.1787727170138578,7,11
cldice,19,-0.0013845866786246642,0.011752852787596834,-0.006222466466646614,0.00407949607519501,9,10
boundary_f1,19,0.0012030517463749463,0.015917804897341726,-0.005820567462949122,0.008223884435181392,12,7
