metric,n_patients,patient_mean_delta,patient_std_delta,ci95_low,ci95_high,improved_patients,worsened_patients
dice,19,0.002651563454372581,0.0054630071192756325,0.00034797485995875804,0.005166083122551038,14,5
iou,19,0.0028411389933912564,0.0065855659242358595,9.016867638020811e-06,0.005699377197039309,13,6
sensitivity,19,0.024218785493628697,0.007679758591641013,0.02079309012001394,0.027428623203548726,19,0
precision,19,-0.017035217941015448,0.007744292710632514,-0.02053183290299952,-0.01378414225258487,0,19
specificity,19,-0.0033447925841867056,0.0017209752490297068,-0.00409641134127626,-0.002601501958076005,0,19
accuracy,19,-0.0006738548162284852,0.0007524455853830586,-0.001008654444624131,-0.00035461732752558353,2,17
hd95,19,-0.5964208115573966,1.5555713691035733,-1.3255391584384426,0.041196834390440217,14,5
cldice,19,0.004206673778506427,0.00659810543137721,0.0015476856677623745,0.007302428841106674,15,4
boundary_f1,19,-0.0010062400103459453,0.0087987199738513,-0.004742568675428855,0.0029013008278163674,7,12
