metric,n_patients,patient_mean_delta,patient_std_delta,ci95_low,ci95_high,improved_patients,worsened_patients
dice,19,0.005202532597844449,0.009326861964528676,0.0011822612162152716,0.009501251662109569,14,5
iou,19,0.0067429526353704515,0.01117681787397919,0.002002294872551484,0.01176868117235791,15,4
sensitivity,19,-0.008622957301991894,0.015486737616291917,-0.015541669125141253,-0.002022959785375728,6,13
precision,19,0.013587444416002386,0.01665563844703335,0.006682127783167793,0.021267578549984904,16,3
specificity,19,0.003293069676437625,0.004784125663112122,0.0014237015075363527,0.005547715639816695,17,2
accuracy,19,0.0021523781845684924,0.0028854898142805716,0.0009925452883314174,0.0035094804636470614,14,5
hd95,19,-0.4404798833738626,2.8646844849293327,-1.5927362412667754,0.898288579712054,12,7
cldice,19,0.010834864774085594,0.02825276999509715,0.0012271034422152395,0.02472945807095697,15,4
boundary_f1,19,0.015997826788268773,0.020473136088693205,0.007445690306469978,0.02565437066243495,16,3
