filename,dice,iou,sensitivity,precision,specificity,accuracy,hd95,cldice,boundary_f1,tp,tn,fp,fn
ANFC_000029.png,0.9069525268050871,0.8297466935855473,0.9032454856145381,0.9106901217971841,0.9873386815488779,0.9768218994144163,7.0,0.9649994957103522,0.4197711691659465,7403.0,56614.0,726.0,793.0
ANFC_000030.png,0.7675765095394569,0.6228187920186349,0.7870123576963866,0.7490774908327772,0.9822827272878196,0.9699859619145206,22.70971277983435,0.8206628482546254,0.5207113161526391,3248.0,60321.0,1088.0,879.0
ANFC_000031.png,0.8175119202515286,0.6913489736321807,0.8336935167157472,0.8019465180192813,0.9621359924856902,0.9421844482430698,7.0,0.9417006472677499,0.5769304192920343,8487.0,53260.0,2096.0,1693.0
ANFC_000032.png,0.764758997301253,0.6191172375648066,0.8212207960272213,0.7155616350405889,0.935383040562718,0.9165191650403364,30.59411708155671,0.8690891326969294,0.678553636572431,8893.0,51172.0,3535.0,1936.0
ANFC_000033.png,0.7555813653532338,0.6071761900231073,0.7920725108506396,0.7223044658620399,0.96128577325328,0.9421997070321321,9.305319127198295,0.83063567021388,0.6790845697384288,5855.0,55893.0,2251.0,1537.0
ANFC_000034.png,0.8341949312927629,0.7155526714562457,0.8477703741866004,0.821047406326502,0.9750225178414913,0.9598693847662374,5.385164807134504,0.9144540755103142,0.7139943551610666,6616.0,56290.0,1442.0,1188.0
ANFC_000035.png,0.852165887993761,0.7424120603273958,0.9274325172721365,0.7881988903341657,0.9655208351432922,0.9608917236334094,5.0,0.9856349892259607,0.6198464735483681,7387.0,55586.0,1985.0,578.0
ANFC_000036.png,0.7875015877318047,0.6494866960717606,0.9303721488804405,0.6826690157052039,0.9768342871844763,0.9744720458988272,9.984885780179606,0.9131990764870807,0.4537050863256124,3100.0,60763.0,1441.0,232.0
ANFC_000037.png,0.8273387441411928,0.7055223663550164,0.8946784922589286,0.7694263467711066,0.9758665424792784,0.9691619873051581,6.0,0.8848535163097498,0.6029639472512542,4842.0,58673.0,1451.0,570.0
ANFC_000038.png,0.8391618932891799,0.7228931307982219,0.8736660389401026,0.807279582394536,0.9775370157532023,0.9674377441411219,10.44030650891055,0.8914744546543112,0.576878302871421,5567.0,57835.0,1329.0,805.0
ANFC_000039.png,0.8477099046077763,0.7356740355669117,0.8299266503833813,0.8662719477474202,0.9763157418962536,0.9534759521491475,5.830951894845301,0.9423981311278317,0.7166629719044201,8486.0,54001.0,1310.0,1739.0
ANFC_000040.png,0.783571951103377,0.6441580756319452,0.7436278885506666,0.8280508006816067,0.9719221683232301,0.9367980957040895,9.055385138137417,0.8669030431502169,0.5790868986007975,7498.0,53896.0,1557.0,2585.0
ANFC_000041.png,0.7908190341504149,0.6540121425167134,0.7812145041694002,0.8006626668039166,0.958847127988781,0.9278259277354763,9.433981132056603,0.8888513809562479,0.6252787544454478,8941.0,51865.0,2226.0,2504.0
ANFC_000042.png,0.9129225502874494,0.8397953159142304,0.9111680546847816,0.9146838156667344,0.993459648661636,0.9875793457033146,5.966190378969053,0.9357289973039989,0.7852766130936988,4267.0,60455.0,398.0,416.0
ANFC_000043.png,0.8112819271388887,0.6824847250832501,0.8870946393266586,0.7474071596133147,0.9609354788644394,0.9524230957038511,5.0990195135927845,0.9373947717725841,0.7391329891110554,6702.0,55716.0,2265.0,853.0
ANFC_000044.png,0.8081601061583281,0.6780777437908825,0.8192109392715522,0.7974034475455594,0.9671989260612711,0.947052001953933,23.0,0.9137472026958482,0.7030244994040495,7309.0,54757.0,1857.0,1613.0
ANFC_000045.png,0.8205707827171195,0.69573550553946,0.8697735713585991,0.7766367137594526,0.9634894822437271,0.9515533447273018,6.324555320336759,0.9065858360829437,0.7297061366098551,7260.0,55101.0,2088.0,1087.0
ANFC_000046.png,0.7826468395059593,0.6429086192243508,0.7076227492894723,0.8754661432899444,0.9760244856321483,0.9243927001964662,10.198039027185569,0.9182198507517438,0.5247354684666435,8921.0,51660.0,1269.0,3686.0
ANFC_000047.png,0.7570487091939424,0.6090735130275017,0.7282867766490336,0.788175815127097,0.9627045978897542,0.9251861572277041,39.813942029092416,0.7769910080659368,0.5062229737701799,7639.0,52994.0,2053.0,2850.0
ANFC_000048.png,0.7490293425148603,0.5987585224790111,0.7952426003790725,0.7078922040774913,0.9582365791155678,0.9398345947274807,7.0710678118654755,0.844648786983656,0.6139735810511695,5884.0,55709.0,2428.0,1515.0
ANFC_000049.png,0.7714367323752392,0.6279177904186816,0.768932923383563,0.7739569005302663,0.9652541626294555,0.9389495849618692,6.332412212046361,0.8872782064926078,0.6987530539823749,6752.0,54783.0,1972.0,2029.0
ANFC_000050.png,0.8409948137764619,0.7256178175810416,0.842782896309617,0.8392143025359663,0.9760469598742588,0.9588317871100033,5.0,0.9364753352572331,0.7189371386706698,7135.0,55703.0,1367.0,1331.0
ANFC_000051.png,0.8119760479154505,0.6834677419673924,0.8267284477714024,0.797740910719174,0.9700183134216444,0.9520874023444812,4.242640687119285,0.9269783695293955,0.7831618750893504,6780.0,55616.0,1719.0,1421.0
ANFC_000052.png,0.8331052784412196,0.7139506787212031,0.8477637130930157,0.8189451373751573,0.9586298103796403,0.9385833740243748,10.00997512422417,0.8875876871971348,0.7213493655528993,10046.0,51465.0,2221.0,1804.0
ANFC_000053.png,0.8361132661056966,0.7183802699784719,0.8977509371201842,0.7823956443028679,0.9571265107638359,0.948425292969537,9.219544457292887,0.9235583954606543,0.582797546289604,8622.0,53534.0,2398.0,982.0
ANFC_000054.png,0.863237518917638,0.759382486047433,0.8540211534769486,0.8726549755431633,0.9775011708762203,0.9586181640631315,5.0,0.9309496823622079,0.7614929965813267,8559.0,54265.0,1249.0,1463.0
ANFC_000055.png,0.8329243617963354,0.7136849871107573,0.8932594644604562,0.7802242116476954,0.9501882791659015,0.9407806396493412,19.34404632803708,0.9008542773390718,0.6404749041431431,9674.0,51981.0,2725.0,1156.0
ANFC_000056.png,0.8073361823476177,0.6769184831614493,0.9411846111346271,0.7068177094463919,0.9516206482601334,0.9504699707038808,4.0,0.9439350792050701,0.8005030026084081,6801.0,55489.0,2821.0,425.0
ANFC_000057.png,0.7165718350432837,0.5583264063290867,0.8614792647022321,0.6133942162516305,0.9799041093725983,0.9756774902347463,5.0,0.8568003682438257,0.7433824989954572,2015.0,61927.0,1270.0,324.0
ANFC_000058.png,0.6670670670892849,0.5004505858115099,0.6198685353317787,0.7220456515859512,0.9665234109935705,0.9238739013683492,35.105549215222474,0.7694991632801619,0.5676955906800456,4998.0,55549.0,1924.0,3065.0
ANFC_000059.png,0.8233225901070423,0.6997011952490337,0.8553512723906792,0.793605964777044,0.9681279765544698,0.9539947509772646,4.0,0.9266069003413334,0.8157076048116135,7025.0,55496.0,1827.0,1188.0
ANFC_000060.png,0.7802940479143767,0.6397394770448391,0.882053344071565,0.6995854151483379,0.9513387860533562,0.943450927735238,4.0,0.9326781758929581,0.7664003721747977,6581.0,55249.0,2826.0,880.0
ANFC_000061.png,0.7339667458598595,0.5797373358763961,0.8408765396962365,0.6511756877050604,0.9462888957211072,0.935058593750991,11.507785231896237,0.8598313524964851,0.7003013482223088,5871.0,55409.0,3145.0,1111.0
ANFC_000062.png,0.7178139779460609,0.5598360656138583,0.7423913043789383,0.6948118006448727,0.9528433701279718,0.9262542724620628,32.014840127806025,0.8337646824877315,0.6991862700199357,6147.0,54556.0,2700.0,2133.0
ANFC_000063.png,0.6802092951923507,0.5153917911012836,0.7117552335407802,0.6513409962199616,0.9601186663526933,0.9365844726572178,31.27297929381459,0.7264192408167807,0.5837782671847548,4420.0,56960.0,2366.0,1790.0
ANFC_000064.png,0.6133141935020071,0.4422877848234245,0.9379802415269044,0.45561183698863994,0.9679505289266417,0.9671173095708143,129.71487587501855,0.7416263204828876,0.28279104862277515,1709.0,61672.0,2042.0,113.0
ANFC_000065.png,0.7881622740138381,0.6503859858001209,0.9100540091586926,0.6950658417110795,0.9683475511352007,0.964065551758361,4.0,0.9358141379479935,0.762304008435368,4381.0,58800.0,1922.0,433.0
ANFC_000066.png,0.7835468644931157,0.6441241685933206,0.9263392857377745,0.6788969386120829,0.9779807692311221,0.9755096435550613,15.132745950421556,0.8463966873145929,0.7570692601033951,2905.0,61026.0,1374.0,231.0
ANFC_000067.png,0.6477157361300214,0.4789789791745575,0.6200194365306029,0.6780021255696057,0.990453385425022,0.9788208007815733,20.310875885513834,0.6609006190437485,0.6102016310867657,1276.0,62872.0,606.0,782.0
ANFC_000068.png,0.7691589657641035,0.6249052025443796,0.7519620369133123,0.7871608712672601,0.9814509549264624,0.9622650146490134,7.644944591370338,0.8972460894484006,0.7091163550330887,4120.0,58943.0,1114.0,1359.0
ANFC_000069.png,0.8010576856307107,0.6681369704389859,0.8279631760891882,0.7758458013511463,0.9716134098052094,0.9563751220709783,5.0,0.9173934417645547,0.7934675136556657,5756.0,56921.0,1663.0,1196.0
ANFC_000070.png,0.7708140915839283,0.6270931730756663,0.826425236974618,0.7222153542190363,0.9615680640367803,0.9469909667976839,12.859644256269375,0.8792534612729562,0.7503649966588718,5842.0,56220.0,2247.0,1227.0
ANFC_000071.png,0.7823960880400229,0.642570281179708,0.853158326527244,0.7224730809790773,0.973656445763705,0.9646911621099139,5.385164807134504,0.9128608970402694,0.7159350830721667,4160.0,59062.0,1598.0,716.0
