experiment,weight,best_val_epoch,train_variant,val_dice,delta_val_vs_m0_dice,development_test_dice,delta_development_test_vs_m0_dice,val_iou,delta_val_vs_m0_iou,development_test_iou,delta_development_test_vs_m0_iou,val_sensitivity,delta_val_vs_m0_sensitivity,development_test_sensitivity,delta_development_test_vs_m0_sensitivity,val_precision,delta_val_vs_m0_precision,development_test_precision,delta_development_test_vs_m0_precision,val_specificity,delta_val_vs_m0_specificity,development_test_specificity,delta_development_test_vs_m0_specificity,val_accuracy,delta_val_vs_m0_accuracy,development_test_accuracy,delta_development_test_vs_m0_accuracy,val_hd95,delta_val_vs_m0_hd95,development_test_hd95,delta_development_test_vs_m0_hd95,val_cldice,delta_val_vs_m0_cldice,development_test_cldice,delta_development_test_vs_m0_cldice,val_boundary_f1,delta_val_vs_m0_boundary_f1,development_test_boundary_f1,delta_development_test_vs_m0_boundary_f1
M0_transunet_no_prior_no_aux_seed42,D:\Projects_\JiaBi_new\results\experiments\all_filtered\cgma_m0_transunet_no_prior_no_aux_20260719\0719_2206\best_model.pth,32,baseline_control,0.7886421447768749,0.0,0.7452439570401118,0.0,0.6590177836340904,0.0,0.6067763898951329,0.0,0.7859379070506627,0.0,0.7611515747977924,0.0,0.808890197959418,0.0,0.7512651050293994,0.0,0.9787314556583802,0.0,0.9700987853733535,0.0,0.9591338023848281,0.0,0.9484533257448556,0.0,19.85194504401413,0.0,24.76419519514048,0.0,0.8838219751903301,0.0,0.8353267658502486,0.0,0.6879070559731549,0.0,0.6343693776229695,0.0
M1_fixed_prior_seed42,D:\Projects_\JiaBi_new\results\experiments\all_filtered\cgma_m1_fixed_prior_20260719\0719_2333\best_model.pth,23,fixed_green_local_contrast,0.7887419914536151,9.984667674023395e-05,0.7515280024703745,0.00628404543026273,0.6587360428946565,-0.0002817407394338778,0.6127642127041263,0.005987822808993348,0.7939219628609173,0.007984055810254631,0.7824407837303764,0.021289208932584014,0.8027795823057522,-0.006110615653665774,0.7437337200423877,-0.007531384987011669,0.9771153158196061,-0.0016161398387740666,0.9672976042509664,-0.002801181122387031,0.9587840736582361,-0.0003497287265920024,0.9481398906190719,-0.00031343512578374533,19.89839103117565,0.04644598716151904,24.310969046517656,-0.45322614862282506,0.8828038146108725,-0.0010181605794575832,0.8391453649361417,0.003818599085893104,0.6882211079133344,0.0003140519401794162,0.6393174766608969,0.004948099037927367
M2_structure_aux_seed42,D:\Projects_\JiaBi_new\results\experiments\all_filtered\cgma_m2_structure_aux_20260719\0720_0106\best_model.pth,25,boundary_centerline_auxiliary,0.7884616240878839,-0.00018052068899099272,0.7536863213509908,0.00844236431087897,0.658669209110858,-0.00034857452323233673,0.6157676339585079,0.008991244063374926,0.8051180710837438,0.019180164033081093,0.795993477671982,0.034841902874189645,0.7912976383143634,-0.017592559645054573,0.7350686785958704,-0.01619642643352892,0.9750202030577546,-0.0037112526006255475,0.9645576315039373,-0.0055411538694162266,0.9580134198507417,-0.001120382534086417,0.9475614915208332,-0.000891834224022392,19.62715958496442,-0.22478545904970915,23.9072277418126,-0.8569674533278793,0.8825217098108685,-0.001300265379461596,0.8420800532192464,0.006753287368997829,0.6897155239339181,0.0018084679607631715,0.642403184762125,0.008033807139155469
M3_cgma_full_seed42,D:\Projects_\JiaBi_new\results\experiments\all_filtered\cgma_m3_full_20260719\0720_0237\best_model.pth,18,fixed_prior_plus_structure_auxiliary,0.7888980831560682,0.0002559383791933545,0.7503976786377594,0.005153721597647598,0.6588112069939542,-0.00020657664013612465,0.6115110536958537,0.00473466380072074,0.7902825913178568,0.004344684267194143,0.7864557829591502,0.02530420816135781,0.8066917383927659,-0.0021984595666521,0.7373546546799064,-0.013910450349493009,0.9780310520502157,-0.0007004036081644793,0.9662528082412909,-0.0038459771320625835,0.9589800250563053,-0.00015377732852284165,0.9474866674588718,-0.0009666582859838568,19.261260576115475,-0.5906844678986545,24.486379966266856,-0.2778152288736244,0.884148712061378,0.0003267368710478946,0.839968084123733,0.004641318273484463,0.6886458541807634,0.0007387982076084709,0.6383316085054418,0.003962230882472273
