"experiment","variant","best_val_epoch","best_val_dice","delta_val_dice_vs_f0","development_test_dice","delta_test_dice_vs_f0","development_test_iou","development_test_hd95","delta_test_hd95_vs_f0","development_test_cldice","delta_test_cldice_vs_f0","development_test_boundary_f1","delta_test_boundary_f1_vs_f0","aggregate_csv"
"F0_transunet_corrected_scratch_seed42","none","20","0.7897","0","0.753508530532918","0","0.614998141165334","24.1625590067151","0","0.84044591599049","0","0.629420346801635","0","D:\Projects_\JiaBi_new\results\unified_eval_directional_prior_probes_20260715\20260715_180224\aggregate_results.csv"
"F1_plain_green_single_scratch_seed42","plain_single","18","0.7897","0","0.746261525396399","-0.00724700513651921","0.608022607379282","25.496932107422","1.33437310070693","0.835396914128482","-0.0050490018620083","0.632222867417738","0.00280252061610264","D:\Projects_\JiaBi_new\results\unified_eval_directional_prior_probes_20260715\20260715_180224\aggregate_results.csv"
"F2_directional_green_single_scratch_seed42","directional_single","17","0.7896","-9.9999999999989E-05","0.751723587922382","-0.00178494261053608","0.613164237280963","24.2142969295012","0.0517379227861419","0.839260717395564","-0.00118519859492694","0.633958821879648","0.00453847507801264","D:\Projects_\JiaBi_new\results\unified_eval_directional_prior_probes_20260715\20260715_180224\aggregate_results.csv"
"F3_directional_green_multiscale_scratch_seed42","directional_multiscale","28","0.7938","0.00409999999999999","0.753626641857856","0.000118111324938108","0.615642944899627","23.6959256179753","-0.466633388739755","0.842909789908536","0.00246387391804603","0.638368525897085","0.00894817909544965","D:\Projects_\JiaBi_new\results\unified_eval_directional_prior_probes_20260715\20260715_180224\aggregate_results.csv"
